,RM,PTRATIO,LSTAT,MEDV
0,6.575,15.3,4.98,24.0
1,6.421,17.8,9.14,21.6
2,7.185,17.8,4.03,34.7
3,6.997999999999999,18.7,2.94,33.4
4,7.147,18.7,5.33,36.2
5,6.43,18.7,5.21,28.7
6,6.0120000000000005,15.2,12.43,22.9
7,6.172000000000001,15.2,19.15,27.1
8,5.631,15.2,29.93,16.5
9,6.004,15.2,17.1,18.9
10,6.377000000000001,15.2,20.45,15.0
11,6.0089999999999995,15.2,13.27,18.9
12,5.888999999999999,15.2,15.71,21.7
13,5.949,21.0,8.26,20.4
14,6.096,21.0,10.26,18.2
15,5.834,21.0,8.47,19.9
16,5.935,21.0,6.58,23.1
17,5.99,21.0,14.67,17.5
18,5.456,21.0,11.69,20.2
19,5.727,21.0,11.28,18.2
20,5.57,21.0,21.02,13.6
21,5.965,21.0,13.83,19.6
22,6.142,21.0,18.72,15.2
23,5.813,21.0,19.88,14.5
24,5.9239999999999995,21.0,16.3,15.6
25,5.599,21.0,16.51,13.9
26,5.813,21.0,14.81,16.6
27,6.047000000000001,21.0,17.28,14.8
28,6.495,21.0,12.8,18.4
29,6.6739999999999995,21.0,11.98,21.0
30,5.712999999999999,21.0,22.6,12.7
31,6.072,21.0,13.04,14.5
32,5.95,21.0,27.71,13.2
33,5.7010000000000005,21.0,18.35,13.1
34,6.096,21.0,20.34,13.5
35,5.933,19.2,9.68,18.9
36,5.841,19.2,11.41,20.0
37,5.85,19.2,8.77,21.0
38,5.966,19.2,10.13,24.7
39,6.595,18.3,4.32,30.8
40,7.024,18.3,1.98,34.9
41,6.77,17.9,4.84,26.6
42,6.169,17.9,5.81,25.3
43,6.211,17.9,7.44,24.7
44,6.069,17.9,9.55,21.2
45,5.682,17.9,10.21,19.3
46,5.7860000000000005,17.9,14.15,20.0
47,6.03,17.9,18.8,16.6
48,5.399,17.9,30.81,14.4
49,5.602,17.9,16.2,19.4
50,5.962999999999999,16.8,13.45,19.7
51,6.115,16.8,9.43,20.5
52,6.511,16.8,5.28,25.0
53,5.997999999999999,16.8,8.43,23.4
54,5.888,21.1,14.8,18.9
55,7.249,17.9,4.81,35.4
56,6.382999999999999,17.3,5.77,24.7
57,6.816,15.1,3.95,31.6
58,6.145,19.7,6.86,23.3
59,5.9270000000000005,19.7,9.22,19.6
60,5.7410000000000005,19.7,13.15,18.7
61,5.966,19.7,14.44,16.0
62,6.456,19.7,6.73,22.2
63,6.7620000000000005,19.7,9.5,25.0
64,7.104,18.6,8.05,33.0
65,6.29,16.1,4.67,23.5
66,5.787000000000001,16.1,10.24,19.4
67,5.877999999999999,18.9,8.1,22.0
68,5.593999999999999,18.9,13.09,17.4
69,5.885,18.9,8.79,20.9
70,6.417000000000001,19.2,6.72,24.2
71,5.961,19.2,9.88,21.7
72,6.065,19.2,5.52,22.8
73,6.245,19.2,7.54,23.4
74,6.273,18.7,6.78,24.1
75,6.2860000000000005,18.7,8.94,21.4
76,6.279,18.7,11.97,20.0
77,6.14,18.7,10.27,20.8
78,6.232,18.7,12.34,21.2
79,5.874,18.7,9.1,20.3
80,6.727,19.0,5.29,28.0
81,6.619,19.0,7.22,23.9
82,6.3020000000000005,19.0,6.72,24.8
83,6.167000000000001,19.0,7.51,22.9
84,6.388999999999999,18.5,9.62,23.9
85,6.63,18.5,6.53,26.6
86,6.015,18.5,12.86,22.5
87,6.121,18.5,8.44,22.2
88,7.007000000000001,17.8,5.5,23.6
89,7.079,17.8,5.7,28.7
90,6.417000000000001,17.8,8.81,22.6
91,6.405,17.8,8.2,22.0
92,6.442,18.2,8.16,22.9
93,6.211,18.2,6.21,25.0
94,6.249,18.2,10.59,20.6
95,6.625,18.0,6.65,28.4
96,6.162999999999999,18.0,11.34,21.4
97,8.068999999999999,18.0,4.21,38.7
98,7.82,18.0,3.57,43.8
99,7.416,18.0,6.19,33.2
100,6.727,20.9,9.42,27.5
101,6.781000000000001,20.9,7.67,26.5
102,6.405,20.9,10.63,18.6
103,6.1370000000000005,20.9,13.44,19.3
104,6.167000000000001,20.9,12.33,20.1
105,5.851,20.9,16.47,19.5
106,5.836,20.9,18.66,19.5
107,6.127000000000001,20.9,14.09,20.4
108,6.474,20.9,12.27,19.8
109,6.229,20.9,15.55,19.4
110,6.195,20.9,13.0,21.7
111,6.715,17.8,10.16,22.8
112,5.912999999999999,17.8,16.21,18.8
113,6.0920000000000005,17.8,17.09,18.7
114,6.254,17.8,10.45,18.5
115,5.928,17.8,15.76,18.3
116,6.176,17.8,12.04,21.2
117,6.021,17.8,10.3,19.2
118,5.872000000000001,17.8,15.37,20.4
119,5.731,17.8,13.61,19.3
120,5.87,19.1,14.37,22.0
121,6.004,19.1,14.27,20.3
122,5.961,19.1,17.93,20.5
123,5.856,19.1,25.41,17.3
124,5.879,19.1,17.58,18.8
125,5.986000000000001,19.1,14.81,21.4
126,5.6129999999999995,19.1,27.26,15.7
127,5.693,21.2,17.19,16.2
128,6.431,21.2,15.39,18.0
129,5.6370000000000005,21.2,18.34,14.3
130,6.457999999999999,21.2,12.6,19.2
131,6.3260000000000005,21.2,12.26,19.6
132,6.372000000000001,21.2,11.12,23.0
133,5.822,21.2,15.03,18.4
134,5.757000000000001,21.2,17.31,15.6
135,6.335,21.2,16.96,18.1
136,5.942,21.2,16.9,17.4
137,6.454,21.2,14.59,17.1
138,5.857,21.2,21.32,13.3
139,6.151,21.2,18.46,17.8
140,6.1739999999999995,21.2,24.16,14.0
141,5.019,21.2,34.41,14.4
142,5.403,14.7,26.82,13.4
143,5.468,14.7,26.42,15.6
144,4.9030000000000005,14.7,29.29,11.8
145,6.13,14.7,27.8,13.8
146,5.627999999999999,14.7,16.65,15.6
147,4.926,14.7,29.53,14.6
148,5.186,14.7,28.32,17.8
149,5.597,14.7,21.45,15.4
150,6.122000000000001,14.7,14.1,21.5
151,5.404,14.7,13.28,19.6
152,5.012,14.7,12.12,15.3
153,5.709,14.7,15.79,19.4
154,6.129,14.7,15.12,17.0
155,6.152,14.7,15.02,15.6
156,5.272,14.7,16.14,13.1
157,6.943,14.7,4.59,41.3
158,6.066,14.7,6.43,24.3
159,6.51,14.7,7.39,23.3
160,6.25,14.7,5.5,27.0
161,7.489,14.7,1.73,50.0
162,7.8020000000000005,14.7,1.92,50.0
163,8.375,14.7,3.32,50.0
164,5.854,14.7,11.64,22.7
165,6.101,14.7,9.81,25.0
166,7.928999999999999,14.7,3.7,50.0
167,5.877000000000001,14.7,12.14,23.8
168,6.319,14.7,11.1,23.8
169,6.402,14.7,11.32,22.3
170,5.875,14.7,14.43,17.4
171,5.88,14.7,12.03,19.1
172,5.572,16.6,14.69,23.1
173,6.416,16.6,9.04,23.6
174,5.859,16.6,9.64,22.6
175,6.546,16.6,5.33,29.4
176,6.02,16.6,10.11,23.2
177,6.315,16.6,6.29,24.6
178,6.86,16.6,6.92,29.9
179,6.98,17.8,5.04,37.2
180,7.765,17.8,7.56,39.8
181,6.144,17.8,9.45,36.2
182,7.155,17.8,4.82,37.9
183,6.563,17.8,5.68,32.5
184,5.604,17.8,13.98,26.4
185,6.153,17.8,13.15,29.6
186,7.831,17.8,4.45,50.0
187,6.782,15.2,6.68,32.0
188,6.556,15.2,4.56,29.8
189,7.185,15.2,5.39,34.9
190,6.9510000000000005,15.2,5.1,37.0
191,6.739,15.2,4.69,30.5
192,7.178,15.2,2.87,36.4
193,6.8,15.6,5.03,31.1
194,6.604,15.6,4.38,29.1
195,7.875,14.4,2.97,50.0
196,7.287000000000001,12.6,4.08,33.3
197,7.107,12.6,8.61,30.3
198,7.274,12.6,6.62,34.6
